Iteration #, Size of Array, Size of Tiles, Time (Seconds)
3, 1500, 38, 12.67
3, 1500, 39, 13.11
3, 1500, 40, 12.69
3, 1500, 41, 13.13
3, 1500, 42, 12.72
3, 1500, 43, 13.11
3, 1500, 44, 12.69
3, 1500, 45, 12.71
3, 1500, 46, 12.75
3, 1500, 47, 12.73
3, 1500, 48, 12.76
3, 1500, 49, 12.71
3, 1500, 50, 12.73
3, 1500, 51, 12.74
3, 1500, 52, 12.74
3, 1500, 53, 12.73
3, 1500, 54, 12.75
3, 1500, 55, 12.77
3, 1500, 56, 12.80
3, 1500, 57, 12.85
3, 1500, 58, 12.80
3, 1500, 59, 12.81
3, 1500, 60, 12.81
3, 1500, 61, 12.80
3, 1500, 62, 12.81
3, 1500, 63, 12.81
3, 1500, 64, 12.82
3, 1500, 65, 12.83
3, 1500, 66, 12.82
3, 1500, 67, 12.82
3, 1500, 68, 12.83
3, 1500, 69, 12.84
3, 1500, 70, 12.85
3, 1500, 71, 12.89
3, 1500, 72, 12.90
3, 1500, 73, 12.89
3, 1500, 74, 12.92
3, 1500, 75, 13.15
3, 1500, 76, 13.13
3, 1500, 77, 13.13
3, 1500, 78, 13.13
3, 1500, 79, 13.14
3, 1500, 80, 13.14
3, 1500, 81, 13.14
3, 1500, 82, 13.14
3, 1500, 83, 13.14
3, 1500, 84, 13.13
3, 1500, 85, 13.12
3, 1500, 86, 13.15
3, 1500, 87, 13.14
3, 1500, 88, 13.12
3, 1500, 89, 13.16
3, 1500, 90, 12.95
3, 1500, 91, 12.93
3, 1500, 92, 12.97
3, 1500, 93, 12.98
3, 1500, 94, 12.97
3, 1500, 95, 13.17
3, 1500, 96, 13.13
3, 1500, 97, 13.15
3, 1500, 98, 13.15
3, 1500, 99, 13.14
3, 1500, 100, 13.17
3, 1500, 101, 13.18
3, 1500, 102, 13.16
3, 1500, 103, 13.20
3, 1500, 104, 13.22
3, 1500, 105, 13.22
3, 1500, 106, 13.25
3, 1500, 107, 13.29
3, 1500, 108, 13.31
3, 1500, 109, 13.33
3, 1500, 110, 13.31
3, 1500, 111, 13.30
3, 1500, 112, 13.35
3, 1500, 113, 13.33
3, 1500, 114, 13.34
3, 1500, 115, 13.38
3, 1500, 116, 13.36
3, 1500, 117, 13.35
3, 1500, 118, 13.38
3, 1500, 119, 13.34
3, 1500, 120, 13.35
3, 1500, 121, 13.39
3, 1500, 122, 13.35
3, 1500, 123, 13.35
3, 1500, 124, 13.38
3, 1500, 125, 13.36
3, 1500, 126, 13.37
3, 1500, 127, 13.40
3, 1500, 128, 13.35
3, 1500, 129, 13.34
3, 1500, 130, 13.38
3, 1500, 131, 13.33
3, 1500, 132, 13.32
3, 1500, 133, 13.36
3, 1500, 134, 13.36
3, 1500, 135, 13.28
3, 1500, 136, 13.29
3, 1500, 137, 13.30
3, 1500, 138, 13.30
3, 1500, 139, 13.30
3, 1500, 140, 13.29
3, 1500, 141, 13.28
3, 1500, 142, 13.29
3, 1500, 143, 13.27
3, 1500, 144, 13.27
3, 1500, 145, 13.27
3, 1500, 146, 13.27
3, 1500, 147, 13.27
3, 1500, 148, 13.28
3, 1500, 149, 13.28
3, 1500, 150, 13.29
3, 1500, 151, 13.29
3, 1500, 152, 13.27
3, 1500, 153, 13.29
3, 1500, 154, 13.29
3, 1500, 155, 13.28
3, 1500, 156, 13.28
3, 1500, 157, 13.28
3, 1500, 158, 13.28
3, 1500, 159, 13.25
3, 1500, 160, 13.26
3, 1500, 161, 13.32
3, 1500, 162, 13.28
3, 1500, 163, 13.30
3, 1500, 164, 13.34
3, 1500, 165, 13.27
3, 1500, 166, 13.31
3, 1500, 167, 13.34
3, 1500, 168, 13.28
3, 1500, 169, 13.27
3, 1500, 170, 13.35
3, 1500, 171, 13.28
3, 1500, 172, 13.32
3, 1500, 173, 13.34
3, 1500, 174, 13.28
3, 1500, 175, 13.32
3, 1500, 176, 13.27
3, 1500, 177, 13.29
3, 1500, 178, 13.33
3, 1500, 179, 13.32
3, 1500, 180, 13.25
3, 1500, 181, 13.29
3, 1500, 182, 13.31
3, 1500, 183, 13.26
3, 1500, 184, 13.24
3, 1500, 185, 13.31
3, 1500, 186, 13.25
3, 1500, 187, 13.28
3, 1500, 188, 13.30
3, 1500, 189, 13.26
3, 1500, 190, 13.29
3, 1500, 191, 13.27
3, 1500, 192, 13.26
3, 1500, 193, 13.29
3, 1500, 194, 13.33
3, 1500, 195, 13.27
3, 1500, 196, 13.26
3, 1500, 197, 13.32
3, 1500, 198, 13.27
3, 1500, 199, 13.26
3, 1500, 200, 13.32
3, 1500, 201, 13.25
3, 1500, 202, 13.33
3, 1500, 203, 13.32
3, 1500, 204, 13.26
3, 1500, 205, 13.30
3, 1500, 206, 13.29
3, 1500, 207, 13.25
3, 1500, 208, 13.28
3, 1500, 209, 13.28
3, 1500, 210, 13.22
3, 1500, 211, 13.21
3, 1500, 212, 13.21
3, 1500, 213, 13.21
3, 1500, 214, 13.21
3, 1500, 215, 13.23
3, 1500, 216, 13.22
3, 1500, 217, 13.22
3, 1500, 218, 13.23
3, 1500, 219, 13.22
3, 1500, 220, 13.22
3, 1500, 221, 13.23
3, 1500, 222, 13.23
3, 1500, 223, 13.22
3, 1500, 224, 13.22
3, 1500, 225, 13.22
3, 1500, 226, 13.23
3, 1500, 227, 13.22
3, 1500, 228, 13.22
3, 1500, 229, 13.23
3, 1500, 230, 13.22
3, 1500, 231, 13.22
3, 1500, 232, 13.23
3, 1500, 233, 13.22
3, 1500, 234, 13.22
3, 1500, 235, 13.22
3, 1500, 236, 13.28
3, 1500, 237, 13.26
3, 1500, 238, 13.25
3, 1500, 239, 13.23
3, 1500, 240, 13.24
3, 1500, 241, 13.25
3, 1500, 242, 13.27
3, 1500, 243, 13.24
3, 1500, 244, 13.25
3, 1500, 245, 13.29
3, 1500, 246, 13.24
3, 1500, 247, 13.26
3, 1500, 248, 13.28
3, 1500, 249, 13.24
4, 2000, 2, 55.36
4, 2000, 3, 41.57
4, 2000, 4, 33.82
4, 2000, 5, 31.48
4, 2000, 6, 30.38
4, 2000, 7, 29.61
4, 2000, 8, 29.30
4, 2000, 9, 29.05
4, 2000, 10, 29.00
4, 2000, 11, 29.37
4, 2000, 12, 29.52
4, 2000, 13, 29.44
4, 2000, 14, 29.37
4, 2000, 15, 29.29
4, 2000, 16, 29.48
4, 2000, 17, 29.40
4, 2000, 18, 29.47
4, 2000, 19, 29.57
4, 2000, 20, 31.13
4, 2000, 21, 29.64
4, 2000, 22, 29.76
4, 2000, 23, 29.68
4, 2000, 24, 29.83
4, 2000, 25, 29.71
4, 2000, 26, 29.82
4, 2000, 27, 29.82
4, 2000, 28, 29.91
4, 2000, 29, 29.77
4, 2000, 30, 29.81
4, 2000, 31, 29.82
4, 2000, 32, 29.98
4, 2000, 33, 29.91
4, 2000, 34, 31.05
4, 2000, 35, 30.00
4, 2000, 36, 30.09
4, 2000, 37, 30.07
4, 2000, 38, 30.13
4, 2000, 39, 31.16
4, 2000, 40, 30.14
4, 2000, 41, 31.13
4, 2000, 42, 30.18
4, 2000, 43, 31.17
4, 2000, 44, 30.26
4, 2000, 45, 30.22
4, 2000, 46, 30.22
4, 2000, 47, 30.20
4, 2000, 48, 30.17
4, 2000, 49, 30.27
4, 2000, 50, 30.27
4, 2000, 51, 30.27
4, 2000, 52, 30.31
4, 2000, 53, 30.34
4, 2000, 54, 30.38
4, 2000, 55, 30.43
4, 2000, 56, 30.41
4, 2000, 57, 30.44
4, 2000, 58, 30.46
4, 2000, 59, 30.47
4, 2000, 60, 30.54
4, 2000, 61, 30.52
4, 2000, 62, 30.52
4, 2000, 63, 30.50
4, 2000, 64, 30.45
4, 2000, 65, 30.51
4, 2000, 66, 30.53
4, 2000, 67, 30.54
4, 2000, 68, 30.53
4, 2000, 69, 30.55
4, 2000, 70, 30.61
4, 2000, 71, 30.64
4, 2000, 72, 30.67
4, 2000, 73, 30.69
4, 2000, 74, 30.71
4, 2000, 75, 31.28
4, 2000, 76, 31.27
4, 2000, 77, 31.28
4, 2000, 78, 31.23
4, 2000, 79, 31.25
4, 2000, 80, 31.20
4, 2000, 81, 31.27
4, 2000, 82, 31.24
4, 2000, 83, 31.26
4, 2000, 84, 31.28
4, 2000, 85, 31.23
4, 2000, 86, 31.26
4, 2000, 87, 31.23
4, 2000, 88, 31.17
4, 2000, 89, 31.25
4, 2000, 90, 30.83
4, 2000, 91, 30.87
4, 2000, 92, 30.86
4, 2000, 93, 30.86
4, 2000, 94, 30.89
4, 2000, 95, 31.29
4, 2000, 96, 31.24
4, 2000, 97, 31.31
4, 2000, 98, 31.33
4, 2000, 99, 31.35
4, 2000, 100, 31.36
4, 2000, 101, 31.36
4, 2000, 102, 31.39
4, 2000, 103, 31.44
4, 2000, 104, 31.40
4, 2000, 105, 31.51
4, 2000, 106, 31.52
4, 2000, 107, 31.53
4, 2000, 108, 31.54
4, 2000, 109, 31.55
4, 2000, 110, 31.60
4, 2000, 111, 31.57
4, 2000, 112, 31.55
4, 2000, 113, 31.59
4, 2000, 114, 31.61
4, 2000, 115, 31.60
4, 2000, 116, 31.60
4, 2000, 117, 31.63
4, 2000, 118, 31.64
4, 2000, 119, 31.63
4, 2000, 120, 31.55
4, 2000, 121, 31.60
4, 2000, 122, 31.61
4, 2000, 123, 31.59
4, 2000, 124, 31.60
4, 2000, 125, 31.62
4, 2000, 126, 31.65
4, 2000, 127, 31.61
4, 2000, 128, 31.54
4, 2000, 129, 31.57
4, 2000, 130, 31.58
4, 2000, 131, 31.58
4, 2000, 132, 31.58
4, 2000, 133, 31.60
4, 2000, 134, 31.60
4, 2000, 135, 31.60
4, 2000, 136, 31.53
4, 2000, 137, 31.58
4, 2000, 138, 31.57
4, 2000, 139, 31.53
4, 2000, 140, 31.55
4, 2000, 141, 31.55
4, 2000, 142, 31.57
